[0.000000] (-) TimerEvent: {}
[0.001552] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.001578] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.001598] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.001616] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.001632] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.001649] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.001666] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.001683] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.001699] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.001715] (-) JobUnselected: {'identifier': 'tiago_2dnav'}
[0.001732] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.001749] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.001765] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.001783] (-) JobUnselected: {'identifier': 'tiago_laser_sensors'}
[0.001799] (-) JobUnselected: {'identifier': 'tiago_moveit_config'}
[0.001816] (-) JobUnselected: {'identifier': 'tiago_navigation'}
[0.001833] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.001850] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.001893] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.001914] (-) JobUnselected: {'identifier': 'tutourial_intefaces'}
[0.001932] (-) JobUnselected: {'identifier': 'urdf_test'}
[0.001955] (tiago_gazebo) JobQueued: {'identifier': 'tiago_gazebo', 'dependencies': OrderedDict([('launch_pal', '/SLAM/ros_ws/install/launch_pal'), ('pal_gazebo_worlds', '/SLAM/ros_ws/install/pal_gazebo_worlds'), ('pal_gripper_controller_configuration', '/SLAM/ros_ws/install/pal_gripper_controller_configuration'), ('pmb2_laser_sensors', '/SLAM/ros_ws/install/pmb2_laser_sensors'), ('pmb2_maps', '/SLAM/ros_ws/install/pmb2_maps'), ('pal_gripper_description', '/SLAM/ros_ws/install/pal_gripper_description'), ('pmb2_2dnav', '/SLAM/ros_ws/install/pmb2_2dnav'), ('pmb2_controller_configuration', '/SLAM/ros_ws/install/pmb2_controller_configuration'), ('tiago_controller_configuration', '/SLAM/ros_ws/install/tiago_controller_configuration'), ('pmb2_description', '/SLAM/ros_ws/install/pmb2_description'), ('tiago_2dnav', '/SLAM/ros_ws/install/tiago_2dnav'), ('tiago_description', '/SLAM/ros_ws/install/tiago_description'), ('tiago_bringup', '/SLAM/ros_ws/install/tiago_bringup'), ('tiago_moveit_config', '/SLAM/ros_ws/install/tiago_moveit_config')])}
[0.001993] (tiago_gazebo) JobStarted: {'identifier': 'tiago_gazebo'}
[0.088973] (tiago_gazebo) JobEnded: {'identifier': 'tiago_gazebo', 'rc': 1}
[0.099438] (-) EventReactorShutdown: {}
